Accession number,Source,Tissue,Development stage,Country
SRX9021965,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021961,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021960,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021959,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021958,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021957,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021956,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021953,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021951,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021950,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021955,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021948,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021954,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021949,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021947,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021946,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021952,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021942,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021945,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021944,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX9021943,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX8895036,RNA-Seq,Axillary buds,,
SRX8909135,miRNA-Seq,Seedling,,
SRX8895034,RNA-Seq,Axillary buds,,
SRX8895032,RNA-Seq,Axillary buds,,
SRX8909136,miRNA-Seq,Seedling,,
SRX8895033,RNA-Seq,Axillary buds,,
SRX8895030,RNA-Seq,Axillary buds,,
SRX8895029,RNA-Seq,Axillary buds,,
SRX8895035,RNA-Seq,Axillary buds,,
SRX8895031,RNA-Seq,Axillary buds,,
SRX8895028,RNA-Seq,Axillary buds,,
SRX8895027,RNA-Seq,Axillary buds,,
SRX8895026,RNA-Seq,Axillary buds,,
SRX8895022,RNA-Seq,Axillary buds,,
SRX8895025,RNA-Seq,Axillary buds,,
SRX8895024,RNA-Seq,Axillary buds,,
SRX8895020,RNA-Seq,Axillary buds,,
SRX8895023,RNA-Seq,Axillary buds,,
SRX8895019,RNA-Seq,Axillary buds,,
SRX8895021,RNA-Seq,Axillary buds,,
SRX8895018,RNA-Seq,Axillary buds,,
SRX8895017,RNA-Seq,Axillary buds,,
SRX8895016,RNA-Seq,Axillary buds,,
SRX8895014,RNA-Seq,Axillary buds,,
SRX8895013,RNA-Seq,Axillary buds,,
SRX8870968,RNA-Seq,leaf,Full anthesis,
SRX8895015,RNA-Seq,Axillary buds,,
SRX8870966,RNA-Seq,leaf,Full anthesis,
SRX8870967,RNA-Seq,leaf,Full anthesis,
SRX8870965,RNA-Seq,leaf,Full anthesis,
SRX8870963,RNA-Seq,leaf,Full anthesis,
SRX8858112,RNA-Seq,,,China: Chengdu
SRX8856755,RNA-Seq,Leaves,seedling,China: Sichuan
SRX8856752,RNA-Seq,Leaves,seedling,China: Sichuan
SRX8856756,RNA-Seq,Leaves,seedling,China: Sichuan
SRX8856751,RNA-Seq,Leaves,seedling,China: Sichuan
SRX8856754,RNA-Seq,Leaves,seedling,China: Sichuan
SRX8856753,RNA-Seq,Leaves,seedling,China: Sichuan
SRX8870964,RNA-Seq,leaf,Full anthesis,
SRX8724904,RNA-Seq,root-C119-24h-3,twenty five-day-old potato root,China:lanzhou
SRX8724911,RNA-Seq,root-C16-12h-1,twenty five-day-old potato root,China:lanzhou
SRX8724903,RNA-Seq,root-C119-24h-2,twenty five-day-old potato root,China:lanzhou
SRX8724908,RNA-Seq,root-C16-6h-1,twenty five-day-old potato root,China:lanzhou
SRX8724909,RNA-Seq,root-C16-6h-2,twenty five-day-old potato root,China:lanzhou
SRX8724910,RNA-Seq,root-C16-6h-3,twenty five-day-old potato root,China:lanzhou
SRX8724906,RNA-Seq,root-C16-2h-2,twenty five-day-old potato root,China:lanzhou
SRX8724907,RNA-Seq,root-C16-2h-3,twenty five-day-old potato root,China:lanzhou
SRX8724902,RNA-Seq,root-C119-24h-1,twenty five-day-old potato root,China:lanzhou
SRX8724905,RNA-Seq,root-C16-2h-1,twenty five-day-old potato root,China:lanzhou
SRX8724901,RNA-Seq,root-C119-12h-3,twenty five-day-old potato root,China:lanzhou
SRX8724900,RNA-Seq,root-C119-12h-2,twenty five-day-old potato root,China:lanzhou
SRX8724898,RNA-Seq,root-C119-6h-3,twenty five-day-old potato root,China:lanzhou
SRX8724899,RNA-Seq,root-C119-12h-1,twenty five-day-old potato root,China:lanzhou
SRX8724895,RNA-Seq,root-C119-2h-3,twenty five-day-old potato root,China:lanzhou
SRX8724897,RNA-Seq,root-C119-6h-2,twenty five-day-old potato root,China:lanzhou
SRX8724894,RNA-Seq,root-C16-0h-3,twenty five-day-old potato root,China:lanzhou
SRX8724893,RNA-Seq,root-C119-2h-2,twenty five-day-old potato root,China:lanzhou
SRX8724896,RNA-Seq,root-C119-6h-1,twenty five-day-old potato root,China:lanzhou
SRX8724892,RNA-Seq,root-C119-2h-1,twenty five-day-old potato root,China:lanzhou
SRX8724891,RNA-Seq,root-C119-0h-3,twenty five-day-old potato root,China:lanzhou
SRX8724886,RNA-Seq,root-C16-24h-1,twenty five-day-old potato root,China:lanzhou
SRX8724889,RNA-Seq,root-C119-0h-1,twenty five-day-old potato root,China:lanzhou
SRX8724884,RNA-Seq,root-C16-12h-2,twenty five-day-old potato root,China:lanzhou
SRX8724882,RNA-Seq,root-C16-0h-1,twenty five-day-old potato root,China:lanzhou
SRX8724885,RNA-Seq,root-C16-12h-3,twenty five-day-old potato root,China:lanzhou
SRX8724883,RNA-Seq,root-C16-0h-2,twenty five-day-old potato root,China:lanzhou
SRX8724887,RNA-Seq,root-C16-24h-2,twenty five-day-old potato root,China:lanzhou
SRX8724888,RNA-Seq,root-C16-24h-3,twenty five-day-old potato root,China:lanzhou
SRX8683644,FL-cDNA,tissue culture shoot and root,young,USA:MI
SRX8724890,RNA-Seq,root-C119-0h-2,twenty five-day-old potato root,China:lanzhou
SRX8683643,FL-cDNA,tissue culture shoot and root,young,USA:MI
SRX8676048,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676046,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676042,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676044,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676043,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676041,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676047,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676045,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676040,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676039,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676037,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8676038,RNA-Seq,whole plantlets except roots,Tissue culture plantes,"China:Hubei,Wuhan"
SRX8648401,RNA-Seq,tuber periderm,,
SRX8648402,RNA-Seq,tuber periderm,,
SRX8648400,RNA-Seq,tuber periderm,,
SRX8648397,RNA-Seq,tuber periderm,,
SRX8648398,RNA-Seq,tuber periderm,,
SRX8648396,RNA-Seq,tuber periderm,,
SRX8648399,RNA-Seq,tuber periderm,,
SRX8648395,RNA-Seq,tuber periderm,,
SRX8648392,RNA-Seq,tuber periderm,,
SRX8648391,RNA-Seq,tuber periderm,,
SRX8648393,RNA-Seq,tuber periderm,,
SRX8648394,RNA-Seq,tuber periderm,,
SRX8629042,RNA-Seq,leaf,flowering stage,China: Yunnan
SRX8629043,RNA-Seq,leaf,flowering stage,China: Yunnan
SRX8629044,RNA-Seq,leaf,flowering stage,China: Yunnan
SRX8629045,RNA-Seq,fruit,fruiting stage,China: Yunnan
SRX8629041,RNA-Seq,flower,flowering stage,China: Yunnan
SRX8629040,RNA-Seq,stolon,flowering stage,China: Yunnan
SRX8629036,RNA-Seq,root,flowering stage,China: Yunnan
SRX8629039,RNA-Seq,stolon,flowering stage,China: Yunnan
SRX8629037,RNA-Seq,root,flowering stage,China: Yunnan
SRX8629038,RNA-Seq,stolon,flowering stage,China: Yunnan
SRX8629035,RNA-Seq,flower,flowering stage,China: Yunnan
SRX8629034,RNA-Seq,root,flowering stage,China: Yunnan
SRX8629032,RNA-Seq,tuber,tuberization stage,China: Yunnan
SRX8629033,RNA-Seq,tuber,tuberization stage,China: Yunnan
SRX8629030,RNA-Seq,stem,flowering stage,China: Yunnan
SRX8629031,RNA-Seq,tuber,tuberization stage,China: Yunnan
SRX8629029,RNA-Seq,stem,flowering stage,China: Yunnan
SRX8629025,RNA-Seq,fruit,fruiting stage,China: Yunnan
SRX8629026,RNA-Seq,fruit,fruiting stage,China: Yunnan
SRX8629028,RNA-Seq,stem,flowering stage,China: Yunnan
SRX8629024,RNA-Seq,flower,flowering stage,China: Yunnan
SRX8629023,RNA-Seq,leaf,flowering stage,China: Yunnan
SRX8629022,RNA-Seq,leaf,flowering stage,China: Yunnan
SRX8629027,RNA-Seq,fruit,fruiting stage,China: Yunnan
SRX8629021,RNA-Seq,leaf,flowering stage,China: Yunnan
SRX8629020,RNA-Seq,flower,flowering stage,China: Yunnan
SRX8629019,RNA-Seq,flower,flowering stage,China: Yunnan
SRX8629014,RNA-Seq,root,flowering stage,China: Yunnan
SRX8629018,RNA-Seq,flower,flowering stage,China: Yunnan
SRX8629011,RNA-Seq,root,flowering stage,China: Yunnan
SRX8629009,RNA-Seq,tuber,tuberization stage,China: Yunnan
SRX8629012,RNA-Seq,root,flowering stage,China: Yunnan
SRX8629008,RNA-Seq,tuber,tuberization stage,China: Yunnan
SRX8629010,RNA-Seq,tuber,tuberization stage,China: Yunnan
SRX8629006,RNA-Seq,stem,flowering stage,China: Yunnan
SRX8629007,RNA-Seq,stem,flowering stage,China: Yunnan
SRX8629004,RNA-Seq,fruit,fruiting stage,China: Yunnan
SRX8629005,RNA-Seq,stem,flowering stage,China: Yunnan
SRX8629003,RNA-Seq,fruit,fruiting stage,China: Yunnan
SRX8601528,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601527,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601521,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601522,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601526,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601525,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601524,RNA-Seq,,Fully-developed tubers after harvest,
SRX8601523,RNA-Seq,,Fully-developed tubers after harvest,
SRX8511996,RNA-Seq,flower,flowering,USA:VA
SRX8511997,RNA-Seq,flower,flowering,USA:VA
SRX8511181,RNA-Seq,flower,flowering,USA:VA
SRX8511182,RNA-Seq,flower,flowering,USA:VA
SRX8511995,RNA-Seq,flower,flowering,USA:VA
SRX8511994,RNA-Seq,flower,flowering,USA:VA
SRX8511180,RNA-Seq,flower,flowering,USA:VA
SRX8511179,RNA-Seq,flower,flowering,USA:VA
SRX8466355,RNA-Seq,tuber,mature,not collected
SRX8466358,RNA-Seq,tuber,mature,not collected
SRX8466356,RNA-Seq,tuber,mature,not collected
SRX8466357,RNA-Seq,tuber,mature,not collected
SRX8466354,RNA-Seq,tuber,mature,not collected
SRX8466352,RNA-Seq,tuber,mature,not collected
SRX8466351,RNA-Seq,tuber,mature,not collected
SRX8466353,RNA-Seq,tuber,mature,not collected
SRX8466350,RNA-Seq,tuber,mature,not collected
SRX8466349,RNA-Seq,tuber,mature,not collected
SRX8466348,RNA-Seq,tuber,mature,not collected
SRX8466347,RNA-Seq,tuber,mature,not collected
SRX8466346,RNA-Seq,tuber,mature,not collected
SRX8466345,RNA-Seq,tuber,mature,not collected
SRX8466344,RNA-Seq,tuber,mature,not collected
SRX8466341,RNA-Seq,tuber,mature,not collected
SRX8466342,RNA-Seq,tuber,mature,not collected
SRX8466343,RNA-Seq,tuber,mature,not collected
SRX8466340,RNA-Seq,tuber,mature,not collected
SRX8466339,RNA-Seq,tuber,mature,not collected
SRX8466338,RNA-Seq,tuber,mature,not collected
SRX8466336,RNA-Seq,tuber,mature,not collected
SRX8466337,RNA-Seq,tuber,mature,not collected
SRX8466335,RNA-Seq,tuber,mature,not collected
SRX8466334,RNA-Seq,tuber,mature,not collected
SRX8466333,RNA-Seq,tuber,mature,not collected
SRX8466331,RNA-Seq,tuber,mature,not collected
SRX8466330,RNA-Seq,tuber,mature,not collected
SRX8466332,RNA-Seq,tuber,mature,not collected
SRX8466327,RNA-Seq,tuber,mature,not collected
SRX8466329,RNA-Seq,tuber,mature,not collected
SRX8466328,RNA-Seq,tuber,mature,not collected
SRX8419847,RNA-Seq,tuber,not applicable,China: Heilongjiang
SRX8402338,RNA-Seq,leaf,,China: Shandong
SRX8419848,RNA-Seq,tuber,not applicable,China: Heilongjiang
SRX8402335,RNA-Seq,leaf,,China: Shandong
SRX8402332,RNA-Seq,leaf,,China: Shandong
SRX8402336,RNA-Seq,leaf,,China: Shandong
SRX8402334,RNA-Seq,leaf,,China: Shandong
SRX8402330,RNA-Seq,leaf,,China: Shandong
SRX8402333,RNA-Seq,leaf,,China: Shandong
SRX8402331,RNA-Seq,leaf,,China: Shandong
SRX8402328,RNA-Seq,leaf,,China: Shandong
SRX8402329,RNA-Seq,leaf,,China: Shandong
SRX8402327,RNA-Seq,leaf,,China: Shandong
SRX8402337,RNA-Seq,leaf,,China: Shandong
SRX8402325,RNA-Seq,leaf,,China: Shandong
SRX8402326,RNA-Seq,leaf,,China: Shandong
SRX8402324,RNA-Seq,leaf,,China: Shandong
SRX8402323,RNA-Seq,leaf,,China: Shandong
SRX8402322,RNA-Seq,leaf,,China: Shandong
SRX8402321,RNA-Seq,leaf,,China: Shandong
SRX8361177,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361174,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361176,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361173,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361175,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361172,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361171,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361167,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361168,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361164,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361166,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361170,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361163,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361169,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361162,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361165,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361161,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361159,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361158,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361160,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361154,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361152,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361155,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361153,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361157,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361151,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361156,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361149,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361148,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361150,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361147,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361145,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361144,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361146,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361141,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361142,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361140,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361139,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361138,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361137,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361143,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8361136,RNA-Seq,tuber,mature,New Zealand: Lincoln
SRX8361135,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361134,RNA-Seq,stem,mature,New Zealand: Lincoln
SRX8361133,RNA-Seq,leaf,mature,New Zealand: Lincoln
SRX8149375,RNA-Seq,,,Belarus: Minsk
SRX8149370,RNA-Seq,,,Belarus: Minsk
SRX8149372,RNA-Seq,,,Belarus: Minsk
SRX8149373,RNA-Seq,,,Belarus: Minsk
SRX8149369,RNA-Seq,,,Belarus: Minsk
SRX8149371,RNA-Seq,,,Belarus: Minsk
SRX8149374,RNA-Seq,,,Belarus: Minsk
SRX8149368,RNA-Seq,,,Belarus: Minsk
SRX8112233,RNA-Seq,tuber meristem,,
SRX8112236,RNA-Seq,tuber meristem,,
SRX8112238,RNA-Seq,tuber meristem,,
SRX8112232,RNA-Seq,tuber meristem,,
SRX8112237,RNA-Seq,tuber meristem,,
SRX8112231,RNA-Seq,tuber meristem,,
SRX8112229,RNA-Seq,tuber meristem,,
SRX8112230,RNA-Seq,tuber meristem,,
SRX8112235,RNA-Seq,tuber meristem,,
SRX8112234,RNA-Seq,tuber meristem,,
SRX8040279,RNA-Seq,Stem,,not applicable
SRX8040273,RNA-Seq,Stem,,not applicable
SRX8040274,RNA-Seq,Stem,,not applicable
SRX8040270,RNA-Seq,Stem,,not applicable
SRX8040278,RNA-Seq,Stem,,not applicable
SRX8040275,RNA-Seq,Stem,,not applicable
SRX8040277,RNA-Seq,Stem,,not applicable
SRX8040272,RNA-Seq,Stem,,not applicable
SRX8040271,RNA-Seq,Stem,,not applicable
SRX8040276,RNA-Seq,Stem,,not applicable
SRX8040268,RNA-Seq,Stem,,not applicable
SRX8040269,RNA-Seq,Stem,,not applicable
SRX8040266,RNA-Seq,Stem,,not applicable
SRX8040265,RNA-Seq,Stem,,not applicable
SRX8040264,RNA-Seq,Stem,,not applicable
SRX8040267,RNA-Seq,Stem,,not applicable
SRX8040263,RNA-Seq,Stem,,not applicable
SRX8040262,RNA-Seq,Stem,,not applicable
SRX8009851,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009850,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009848,RNA-Seq,leaf,adult,Ireland: Co. Offaly
SRX8009849,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009843,RNA-Seq,leaf,adult,Ireland: Co. Offaly
SRX8009844,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009845,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009846,RNA-Seq,leaf,adult,Ireland: Co. Donegal
SRX8009847,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009838,RNA-Seq,leaf,adult,Ireland: Co. Offaly
SRX8009839,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009842,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009840,RNA-Seq,leaf,adult,Ireland: Co. Offaly
SRX8009836,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009837,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009833,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009834,RNA-Seq,leaf,adult,Ireland: Co. Offaly
SRX8009835,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009829,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009831,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX8009832,RNA-Seq,leaf,adult,Ireland: Co. Donegal
SRX8009830,RNA-Seq,leaf,adult,Ireland: Co. Offaly
SRX8009841,RNA-Seq,leaf,adult,Ireland: Co. Donegal
SRX8009828,RNA-Seq,leaf,adult,Ireland: Co. Carlow
SRX7893829,RNA-Seq,leaf10,tubers initiate,missing
SRX7893827,RNA-Seq,leaf8,tubers initiate,missing
SRX7893828,RNA-Seq,leaf9,tubers initiate,missing
SRX7893826,RNA-Seq,leaf7,tubers initiate,missing
SRX7893825,RNA-Seq,leaf6,tubers initiate,missing
SRX7893824,RNA-Seq,leaf5,tubers initiate,missing
SRX7893821,RNA-Seq,leaf12,tubers initiate,missing
SRX7893823,RNA-Seq,leaf4,tubers initiate,missing
SRX7893822,RNA-Seq,leaf3,tubers initiate,missing
SRX7893820,RNA-Seq,leaf11,tubers initiate,missing
SRX7893819,RNA-Seq,leaf2,tubers initiate,missing
SRX7893818,RNA-Seq,leaf1,tubers initiate,missing
ERX3965473,RNA-Seq,,,
ERX3965471,RNA-Seq,,,
ERX3965472,RNA-Seq,,,
ERX3965469,RNA-Seq,,,
ERX3965470,RNA-Seq,,,
ERX3965464,RNA-Seq,,,
ERX3965468,RNA-Seq,,,
ERX3965465,RNA-Seq,,,
ERX3965466,RNA-Seq,,,
ERX3965467,RNA-Seq,,,
ERX3965425,RNA-Seq,,,
ERX3965463,RNA-Seq,,,
SRX7753207,RNA-Seq,tuber meristem,,
SRX7753206,RNA-Seq,tuber meristem,,
SRX7753208,RNA-Seq,tuber meristem,,
SRX7753202,RNA-Seq,tuber meristem,,
SRX7753203,RNA-Seq,tuber meristem,,
SRX7753200,RNA-Seq,tuber meristem,,
SRX7753204,RNA-Seq,tuber meristem,,
SRX7753205,RNA-Seq,tuber meristem,,
SRX7753199,RNA-Seq,tuber meristem,,
SRX7753197,RNA-Seq,tuber meristem,,
SRX7753201,RNA-Seq,tuber meristem,,
SRX7753196,RNA-Seq,tuber meristem,,
SRX7753198,RNA-Seq,tuber meristem,,
SRX7753195,RNA-Seq,tuber meristem,,
SRX7753193,RNA-Seq,tuber meristem,,
SRX7753194,RNA-Seq,tuber meristem,,
SRX7753191,RNA-Seq,tuber meristem,,
SRX7753190,RNA-Seq,tuber meristem,,
SRX7753192,RNA-Seq,tuber meristem,,
SRX7753189,RNA-Seq,tuber meristem,,
SRX7753187,RNA-Seq,tuber meristem,,
SRX7753188,RNA-Seq,tuber meristem,,
SRX7753186,RNA-Seq,tuber meristem,,
SRX7753185,RNA-Seq,tuber meristem,,
SRX7636707,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636708,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636706,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636705,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636703,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636702,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636701,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636704,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636700,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636699,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636698,RNA-Seq,Potato Leaf,,USA: Montana
SRX7636697,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636696,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636695,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636694,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636692,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636693,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636690,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636691,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636687,RNA-Seq,Potato Leaf,,USA: Montana
SRX7636685,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636688,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636689,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636686,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636682,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636680,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636679,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636678,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636676,RNA-Seq,Potato Leaf,,USA: Montana
SRX7636675,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636677,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636684,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636683,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636681,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636674,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636673,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636672,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636671,RNA-Seq,Potato Tuber,,USA: Wisconsin
SRX7636670,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636669,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636667,RNA-Seq,Potato Leaf,,USA: Wisconsin
SRX7636666,RNA-Seq,Potato Tuber,,USA: Montana
